,cst,str_time,fin_time,spker,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,peakf,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx
1,test_1,1.056,114.904,speaker_1,0.22915007,0.04481579,0.239760321,0.214075794,0.259067637,0.044991843,1.991547374,6.647891617,0.913376125,0.286172805,0.254904003,0.22915007,0,0.208250113,0.015640274,0.275862069,0.68479364,0,6.1171875,6.1171875,0.055098366
2,test_1,114.904,116.264,speaker_2,0.167176527,0.072625659,0.175092348,0.107862797,0.230501319,0.122638522,1.073947081,4.577159437,0.960464303,0.748179553,0.209076517,0.167176527,0,0.096120837,0.016064257,0.23880597,1.23828125,0.703125,2.1328125,1.4296875,0.521554341
